,values
GO:1901611,-3.4431632e-05
GO:0050664,-3.908164e-05
GO:0019212,-5.53341e-05
GO:0004812,-6.3107116e-05
GO:0030275,-6.690537e-05
GO:0035064,-8.0657235e-05
GO:0046912,-9.093931e-05
GO:0030249,-9.856358e-05
GO:0016831,-0.00010469501
GO:0045296,-0.000104943254
GO:0061659,-0.00010745763
GO:0016833,-0.00012972257
GO:0032183,-0.00016595145
GO:0015116,-0.00019552368
GO:0004553,-0.00021059751
GO:0035014,-0.00023243281
GO:0004540,-0.00030721023
GO:0008066,-0.00033020877
GO:0043121,-0.00033246345
GO:0046943,-0.00033981656
GO:0019789,-0.0003574366
GO:0097644,-0.00039162478
GO:0005042,-0.0004197462
GO:0001847,-0.00049918366
GO:0016709,-0.0005971416
GO:0016712,-0.0006395848
GO:0004000,-0.0006831083
GO:0002060,-0.00070147344
GO:0016818,-0.0007616145
GO:0016298,-0.0010955343
GO:0004930,-0.0011192954
GO:0017080,-0.001159671
GO:0016647,-0.0012351241
GO:0016646,-0.0014399567
GO:0140666,-0.0015341085
GO:0106310,-0.0016739536
GO:0032393,-0.0016865543
GO:0016878,-0.0018293626
GO:0022890,-0.0019193833
GO:0140102,-0.0026491922
GO:0070513,-0.0026734294
GO:0015459,-0.0027435373
GO:0016813,-0.0034664967
GO:0004725,-0.0035627596
GO:0016836,-0.003906107
GO:0005035,-0.003952729
GO:0008200,-0.005410788
GO:0016758,-0.005680552
GO:0005520,-0.0058868723
GO:0019210,-0.0065734526
GO:0016615,-0.0066505587
GO:0016811,-0.006741146
GO:0003677,-0.0067609763
GO:0034190,-0.007264592
GO:0004457,-0.009267158
GO:0097472,-0.009322761
GO:0099589,-0.010002031
GO:0016641,-0.0102730235
GO:0042578,-0.010309897
GO:0004712,-0.010599332
GO:0044390,-0.0108474
GO:0140296,-0.012003817
GO:0019198,-0.012776043
GO:0030414,-0.014905347
GO:0016716,-0.015758825
GO:0008483,-0.017407652
GO:0061135,-0.01760246
GO:0033695,-0.019187486
GO:0008373,-0.019201897
GO:0016819,-0.022994688
GO:0019902,-0.03140708
GO:0008238,-0.044064034
GO:0008237,-0.04423162
GO:0030971,-0.045241736
GO:0004713,-0.052567907
GO:0140333,-0.054784242
GO:0008234,-0.1462614
GO:0042287,-0.24525155
GO:0140297,-0.3439382
