,values
KCNA7_meth,-0.003684103
ALX1_meth,0.011827114
LRRK2_meth,0.123859175
CDH2_meth,-0.015768705
GPR78_meth,-2.2159333e-10
SST_meth,0.08683944
RHBDL2_meth,-0.064585924
IRX1_meth,5.4701754e-10
SIX1_meth,-0.06306519
VEGFC_meth,0.59467936
LRFN5_meth,-2.078328e-07
ATP1B2_meth,-2.963773e-10
CALY_meth,0.00695323
MMP2_meth,0.098564394
CLGN_meth,2.6369393e-10
HOXA11_meth,-4.9032875e-05
NPTX1_meth,0.00031205144
EGFL6_meth,1.1616111e-09
GSTP1_meth,0.0705281
ADAM29_meth,0.014343094
RAB38_meth,1.4969156e-09
EFS_meth,-9.7798285e-09
MAP9_meth,-9.435031e-09
FAT4_meth,-1.6868847e-07
IL18RAP_meth,0.25085637
USP6_meth,-0.027316459
KAZALD1_meth,-1.4418045e-09
RAB6C_meth,1.8614428e-07
OTX2_meth,0.00675813
TSPAN2_meth,2.6326106e-05
HOXB1_meth,0.00045969235
SPAG17_meth,-9.91839e-09
KLF5_meth,0.0013300837
ECHDC3_meth,0.019633949
SNAP91_meth,0.0015742425
ZDHHC22_meth,1.9302584e-08
NAALAD2_meth,-0.0012088927
RBM24_meth,0.00088774046
SLFN14_meth,0.00015220685
CDHR1_meth,2.144124e-07
NOXO1_meth,2.0531659e-06
ADCY1_meth,0.036094863
SH3GL2_meth,0.00067163154
MAP6_meth,-0.0095962165
LUM_meth,2.4412614e-09
IL18_meth,-0.13190936
ZIC3_meth,1.3440823e-05
SFN_meth,-0.31728974
HENMT1_meth,0.00056652096
XAF1_meth,0.0004835701
SLFN11_meth,-0.08992952
BMP3_meth,0.48619714
CELF3_meth,7.890347e-05
DOK5_meth,-0.0052654454
SLC8A3_meth,0.08124385
PGR_meth,0.043505896
VAX2_meth,7.937913e-05
RNF180_meth,-0.0006399058
NAPSA_meth,0.021391764
COL4A6_meth,-0.0023957721
PPP1R16B_meth,3.803512e-05
UCHL1_meth,-0.014075779
POM121L2_meth,9.6672986e-05
TBX20_meth,-0.006006035
AIM2_meth,-0.06954846
CLECL1_meth,-2.786806e-06
NPFFR2_meth,0.16407308
P2RY1_meth,0.01798283
SLC6A3_meth,0.2688499
TRIM17_meth,-0.006126729
PLD3_meth,0.0074951486
CNTN5_meth,-9.1993185e-10
GATA5_meth,0.004517166
CFLAR_meth,-0.14104222
PCDH15_meth,-3.2461978e-07
RSPO2_meth,-6.7189576e-05
SNCB_meth,0.04560807
UGT3A2_meth,0.00045948554
POU4F2_meth,-0.032001957
NAGS_meth,-4.2789445e-05
CD200_meth,0.086408876
MYOD1_meth,-0.08925698
FGF5_meth,-0.10295813
MST1R_meth,-0.08282385
NUDT11_meth,7.2916824e-05
TTR_meth,0.16993192
VSTM2A_meth,0.04478441
HOXB8_meth,6.856809e-05
SHANK1_meth,0.06411971
SLC6A7_meth,3.9811785e-05
PCDH10_meth,-3.911347e-07
KCNJ12_meth,-0.020353263
HOXD10_meth,0.000119411125
CHAT_meth,-0.0008190832
SLC17A6_meth,5.0460827e-09
NKX1-1_meth,0.030990371
ADAMTS5_meth,0.013586212
OTOGL_meth,0.00014273278
MAFB_meth,0.013037079
GCM2_meth,-1.2022303e-09
SULT2B1_meth,0.0001365877
NKX2-5_meth,-7.695712e-05
ST6GALNAC1_meth,0.0068108584
GABRA4_meth,0.000431184
MPZL2_meth,-5.917755e-08
CDKN1C_meth,-0.001666861
NTSR1_meth,0.000121631434
HBA2_meth,-0.0056407903
ST8SIA4_meth,0.002388562
ITPKA_meth,0.002131771
IRX4_meth,6.180777e-13
LRRC4_meth,0.00025586956
FABP1_meth,0.007462338
FGF4_meth,0.45270604
SLC13A5_meth,0.00027554267
PAX6_meth,0.032827724
RSPO1_meth,1.5435221e-08
NKX2-2_meth,0.04407019
CES5A_meth,0.010644184
ABI3_meth,-0.05743309
SPOCD1_meth,-0.039740924
ST6GALNAC5_meth,0.010892068
PHACTR3_meth,0.0005159694
FGD1_meth,1.8586952e-05
HSF4_meth,-0.3546629
RCN3_meth,-0.0006119538
RPP25_meth,-3.946875e-05
CYP24A1_meth,2.5867548e-05
DLX6_meth,5.142971e-07
USP17L1_meth,-0.03722744
BRINP3_meth,-0.014177609
EPHX3_meth,0.0013637383
